Players,Latitude,Longitude,Location
"['Brandon Aiyuk', 'Dohnovan West']",41.7678554,-74.3589845,Arizona State
['Azeez Al-Shaair'],29.7784668,-82.7498121,Florida Atlantic
"['Arik Armstead', 'Deommodore Lenoir']",43.9792797,-120.737257,Oregon
"['Kevin Atkins', 'Josh Hokit', 'KeeSean Johnson']",19.6946097,-99.1775268,Fresno State
"['Aaron Banks', 'Mike McGlinchey']",41.704567749999995,-86.23822026017265,Notre Dame
"['Alex Barrett', 'Daniel Brunskill', 'Tayler Hawkins', 'Segun Olubi']",8.1601108,-72.0430869,San Diego State
"['Nick Bosa', 'Austin Mack', 'Trey Sermon']",41.8924127,-87.6277491,Ohio State
"['Jake Brendel', 'Qwuantrezz Knight']",33.96769045,-118.44656570313037,UCLA
['Spencer Burford'],29.4246002,-98.4951405,Texas-San Antonio
"['Oren Burks', 'Jordan Matthews', 'Justin Skule']",28.822218,-96.6160175,Vanderbilt
"['Tariq Castro-Fields', 'Kevin Givens', 'Robbie Gould']",40.71248635,-77.94917058067017,Penn State
['Kalia Davis'],-25.3526818,-57.5059304,Central Florida
['Tyrion Davis-Price'],50.9790992,11.0329001,Louisiana State
"['Darqueze Dennard', 'Taybor Pepper']",42.120868,-85.526382,Michigan State
['Ross Dwelley'],32.7174202,-117.1627728,San Diego
['Samson Ebukam'],34.0005083,-118.1596313,Eastern Washington
['Demetrius Flannigan-Fowles'],34.395342,-111.763275,Arizona
['Dee Ford'],32.6098566,-85.4807825,Auburn
['Troy Fumagalli'],44.4308975,-89.6884637,Wisconsin
['Jimmy Garoppolo'],40.1249083,-88.192275,Eastern Illinois
['Jeremiah Gemmel'],35.6729639,-79.0392919,North Carolina
['Danny Gray'],31.9942903,-102.0681922,Southern Methodist
['Dre Greenlaw'],35.2048883,-92.4479108,Arkansas
['Alfredo Gutierrez'],25.65090785,-100.28936105296415,Tecnológico de Monterrey
['JaMycal Hasty'],33.574962,-99.2000611,Baylor
"[""Ka'dar Hollman"", 'Samuel Womack III']",39.8560679,-4.0239568,Toledo
['Tanner Hudson'],33.2898495,-93.2360008,Southern Arkansas
"['Talanoa Hufanga', 'Drake Jackson']",45.356701,36.4601085,Southern California
"['Maurice Hurst', 'Ambry Thomas']",43.6211955,-84.6824346,Michigan
['Kerry Hyder Jr.'],30.4044232,-97.672393,Texas Tech
"['Jauan Jennings', 'Emmanuel Moseley']",35.7730076,-86.2820081,Tennessee
['Dontae Johnson'],36.066061,-79.3111587,North Carolina State
"['Marcus Johnson', 'Charles Omenihu', 'Hassan Ridgeway']",31.2638905,-98.5456116,Texas
['Kyle Juszczyk'],42.36790855,-71.12678237443698,Harvard
"['Javon Kinlaw', 'Deebo Samuel']",33.6874388,-80.4363743,South Carolina
['George Kittle'],41.9216734,-93.3122705,Iowa
"['Tyler Kroft', 'Kemoko Turay']",40.4929271,-74.44520167306827,Rutgers
['Trey Lance'],46.897155,-96.81826543221285,North Dakota State
['Alex Mack'],37.8753497,-122.23963364918777,California-Berkeley
['Taysir Mack'],40.4416941,-79.9900861,Pittsburgh
['Tay Martin'],47.1051301,-119.3346395,Oklahoma State
['Jordan Mason'],33.776033,-84.39884086001581,Georgia Tech
['Ray-Ray McCloud'],34.6850749,-82.8364111,Clemson
"['Marcelino McCrary-Ball', 'Nate Sudfeld']",40.3270127,-86.1746933,Indiana
['Colton McKivitz'],38.4758406,-80.8408415,West Virginia
['Elijah Mitchell'],30.8703881,-92.007126,Louisiana
['Jaylon Moore'],42.211115,-86.275983,Western Michigan
['Tarvarius Moore'],31.3286452,-89.3367311705755,Southern Mississippi
"[""Leon O'Neal"", 'Keaton Sutherland']",30.5518161,-96.24359931287475,Texas A&M
['George Odum'],34.2962041,-92.8529473,Central Arkansas
['Jason Poe'],41.2019729,-90.7398717,Mercer
['Brock Purdy'],42.070703,-90.6443905,Iowa State
['Curtis Robinson'],37.426540700000004,-122.17029258409187,Stanford
['Sam Schlueter'],45.9896587,-94.6113288,Minnesota
['Malik Turner'],40.0796606,-89.4337288,Illinois
['Jason Verrett'],25.9250545,-97.4407481,Texas Christian
['Charvarius Ward'],35.84860085,-86.36090357044624,Middle Tennessee State
['Jimmie Ward'],41.8137876,-88.0662396,Northern Illinois
['Fred Warner'],41.5107759,-112.01970921968139,Brigham Young
['Trent Williams'],34.9550817,-97.2684063,Oklahoma
['Jordan Willis'],37.8222598,-96.8784257,Kansas State
['Jeff Wilson Jr.'],36.1979366,-76.0099227,North Texas
['Mitch Wishnowsky'],39.4225192,-111.714358,Utah
['Charlie Woerner'],32.3293809,-83.1137366,Georgia
['Nick Zakelj'],52.3103704,0.3877644,Fordham
